index,area,pop,sex,year
564,ECU,5195.38866322,male,1990
565,ECU,5133.82438195,female,1990
566,ECU,6762.12014846,male,2005
567,ECU,6718.08596576,female,2005
568,ECU,7276.93057338,male,2010
569,ECU,7248.77153896,female,2010
570,PER,10959.3903415,male,1990
571,PER,10873.1956757,female,1990
572,PER,13892.5124616,male,2005
573,PER,13814.3394004,female,2005
574,PER,14649.7932117,male,2010
575,PER,14582.0307517,female,2010
576,COL,16565.7671556,male,1990
577,COL,16836.7112468,female,1990
578,COL,21288.6283718,male,2005
579,COL,21930.7476427,female,2005
580,COL,22853.9338881,male,2010
581,COL,23600.9734333,female,2010
582,CRI,1564.66523212,male,1990
583,CRI,1512.4747555,female,1990
584,CRI,2193.50751559,male,2005
585,CRI,2124.58985092,female,2005
586,CRI,2373.01515039,male,2010
587,CRI,2301.3826901,female,2010
588,GTM,4546.52639077,male,1990
589,GTM,4477.85524004,female,1990
590,GTM,6253.70659492,male,2005
591,GTM,6553.80133277,female,2005
592,GTM,7065.79485442,male,2010
593,GTM,7421.91913587,female,2010
594,HND,2472.91134543,male,1990
595,HND,2459.25736824,female,1990
596,HND,3452.15636838,male,2005
597,HND,3467.84741638,female,2005
598,HND,3821.87969578,male,2010
599,HND,3822.41608333,female,2010
600,MEX,42051.6835941,male,1990
601,MEX,42701.4564946,female,1990
602,MEX,52816.3039834,male,2005
603,MEX,54165.7154347,female,2005
604,MEX,56166.1049456,male,2010
605,MEX,57710.630856,female,2010
606,NIC,2074.14852012,male,1990
607,NIC,2083.5079081,female,1990
608,NIC,2704.22438798,male,2005
609,NIC,2742.21685729,female,2005
610,NIC,2870.48886228,male,2010
611,NIC,2930.41204879,female,2010
612,PAN,1229.15253478,male,1990
613,PAN,1200.42213249,female,1990
614,PAN,1640.40928575,male,2005
615,PAN,1613.21861021,female,2005
616,PAN,1780.35604034,male,2010
617,PAN,1752.63275177,female,2010
618,SLV,2610.98300247,male,1990
619,SLV,2757.32334469,female,1990
620,SLV,2903.25539133,male,2005
621,SLV,3172.37570949,female,2005
622,SLV,2951.64322512,male,2010
623,SLV,3263.92527594,female,2010
624,VEN,9959.27584363,male,1990
625,VEN,9790.63679052,female,1990
626,VEN,13461.6361592,male,2005
627,VEN,13329.452036,female,2005
628,VEN,14604.3875771,male,2010
629,VEN,14500.586932,female,2010
630,ARG,16130.9349935,male,1990
631,ARG,16767.1658543,female,1990
632,ARG,19080.7693011,male,2005
633,ARG,19913.1952197,female,2005
634,ARG,19902.5110344,male,2010
635,ARG,20759.6939548,female,2010
636,CHL,6543.29736,male,1990
637,CHL,6709.58167662,female,1990
638,CHL,7782.73145147,male,2005
639,CHL,8012.91743508,female,2005
640,CHL,8120.72741934,male,2010
641,CHL,8347.21448388,female,2010
642,URY,1522.05398226,male,1990
643,URY,1618.22311562,female,1990
644,URY,1620.27966177,male,2005
645,URY,1735.91637388,female,2005
646,URY,1640.34738989,male,2010
647,URY,1755.44556773,female,2010
648,BRA,74623.8693946,male,1990
649,BRA,75619.3393778,female,1990
650,BRA,91979.7234324,male,2005
651,BRA,94555.2255975,female,2005
652,BRA,96343.2830685,male,2010
653,BRA,99425.0041762,female,2010
654,PRY,2161.59385971,male,1990
655,PRY,2115.30196181,female,1990
656,PRY,2999.43881658,male,2005
657,PRY,2932.56132504,female,2005
658,PRY,3275.4895694,male,2010
659,PRY,3214.00955618,female,2010
660,AFG,7071.16361646,male,1990
661,AFG,6577.53741859,female,1990
662,AFG,14512.5522653,male,2005
663,AFG,13542.9838987,female,2005
664,AFG,16572.4829244,male,2010
665,AFG,15479.6090976,female,2010
666,ARE,1184.0868054,male,1990
667,ARE,622.731820948,female,1990
668,ARE,2792.93789715,male,2005
669,ARE,1293.85829392,female,2005
670,ARE,5219.34488486,male,2010
671,ARE,2283.93450074,female,2010
672,BHR,287.135386766,male,1990
673,BHR,210.885406715,female,1990
674,BHR,424.962218427,male,2005
675,BHR,316.118171989,female,2005
676,BHR,794.433153206,male,2010
677,BHR,480.025924059,female,2010
678,DZA,12811.2554203,male,1990
679,DZA,12630.4937971,female,1990
680,DZA,16685.0398196,male,2005
681,DZA,16389.8006909,female,2005
682,DZA,17997.1857701,male,2010
683,DZA,17668.4138673,female,2010
684,EGY,28730.0954536,male,1990
685,EGY,28424.6985873,female,1990
686,EGY,37526.1640869,male,2005
687,EGY,37147.2191054,female,2005
688,EGY,40948.3063407,male,2010
689,EGY,40643.6984019,female,2010
690,IRN,27668.390222,male,1990
691,IRN,27138.4610556,female,1990
692,IRN,35937.9433077,male,2005
693,IRN,34632.8279135,female,2005
694,IRN,37760.6936686,male,2010
695,IRN,36608.3400298,female,2010
696,IRQ,8679.12412844,male,1990
697,IRQ,8816.89669229,female,1990
698,IRQ,13823.6018633,male,2005
699,IRQ,13745.0118383,female,2005
700,IRQ,15973.8691252,male,2010
701,IRQ,15883.6113368,female,2010
702,JOR,1781.09131961,male,1990
703,JOR,1616.21777979,female,1990
704,JOR,2786.96564206,male,2005
705,JOR,2600.61770238,female,2005
706,JOR,3153.95796749,male,2010
707,JOR,2978.11472046,female,2010
708,KWT,1102.77482855,male,1990
709,KWT,968.291520776,female,1990
710,KWT,1365.51527348,male,2005
711,KWT,912.510243558,female,2005
712,KWT,1613.85217404,male,2010
713,KWT,1084.31915849,female,2010
714,LBN,1450.01656951,male,1990
715,LBN,1535.95769383,female,1990
716,LBN,1997.64531721,male,2005
717,LBN,2088.19775551,female,2005
718,LBN,2080.90679489,male,2010
719,LBN,2178.73368568,female,2010
720,LBY,2283.64403878,male,1990
721,LBY,2070.69735548,female,1990
722,LBY,2957.74956619,male,2005
723,LBY,2837.04389083,female,2005
724,LBY,3235.51913146,male,2010
725,LBY,3142.93895608,female,2010
726,MAR,12442.3835244,male,1990
727,MAR,12492.8017334,female,1990
728,MAR,15080.8312245,male,2005
729,MAR,15533.2400909,female,2005
730,MAR,15752.9534735,male,2010
731,MAR,16359.4571271,female,2010
732,OMN,1047.0958412,male,1990
733,OMN,841.095840349,female,1990
734,OMN,1345.67327428,male,2005
735,OMN,1098.37057306,female,2005
736,OMN,1618.25926451,male,2010
737,OMN,1131.00204597,female,2010
738,PSE,1068.42992118,male,1990
739,PSE,1042.27637461,female,1990
740,PSE,1817.79794918,male,2005
741,PSE,1765.34453259,female,2005
742,PSE,2062.97271474,male,2010
743,PSE,2001.95283105,female,2010
744,QAT,318.269181045,male,1990
745,QAT,156.767771549,female,1990
746,QAT,555.751872479,male,2005
747,QAT,271.581861768,female,2005
748,QAT,1332.6442017,male,2010
749,QAT,429.290369407,female,2010
750,SAU,9076.78444871,male,1990
751,SAU,7117.03575941,female,1990
752,SAU,13520.7011562,male,2005
753,SAU,10588.6405938,female,2005
754,SAU,15066.176568,male,2010
755,SAU,12121.8977028,female,2010
756,SYR,6231.5652442,male,1990
757,SYR,6150.42174392,female,1990
758,SYR,9272.03989905,male,2005
759,SYR,8968.21080984,female,2005
760,SYR,10244.986144,male,2010
761,SYR,10016.8162782,female,2010
762,TUN,4162.75340701,male,1990
763,TUN,4097.95015798,female,1990
764,TUN,5011.38443905,male,2005
765,TUN,4997.41083394,female,2005
766,TUN,5281.16102072,male,2010
767,TUN,5281.78307654,female,2010
768,TUR,27305.3709004,male,1990
769,TUR,27245.4812007,female,1990
770,TUR,34234.2582278,male,2005
771,TUR,34390.1063141,female,2005
772,TUR,36459.024951,male,2010
773,TUR,36710.0579536,female,2010
774,YEM,6005.67652299,male,1990
775,YEM,6062.23525143,female,1990
776,YEM,10456.279105,male,2005
777,YEM,10336.1201051,female,2005
778,YEM,12184.3753143,male,2010
779,YEM,12030.0351872,female,2010
780,CAN,13808.8804209,male,1990
781,CAN,14041.0806111,female,1990
782,CAN,16092.3764515,male,2005
783,CAN,16323.3593619,female,2005
784,CAN,16665.3468077,male,2010
785,CAN,16838.7139778,female,2010
786,USA,122815.419452,male,1990
787,USA,129031.637219,female,1990
788,USA,146813.709149,male,2005
789,USA,150817.022083,female,2005
790,USA,152019.267698,male,2010
791,USA,155341.876578,female,2010
792,FJI,373.645774696,male,1990
793,FJI,362.115310111,female,1990
794,FJI,423.831145513,male,2005
795,FJI,407.865934329,female,2005
796,FJI,442.105600176,male,2010
797,FJI,424.881827129,female,2010
798,FSM,49.4503772177,male,1990
799,FSM,47.3510655728,female,1990
800,FSM,56.2362807281,male,2005
801,FSM,54.5099881683,female,2005
802,FSM,57.1828889531,male,2010
803,FSM,54.9963717014,female,2010
804,KIR,36.2920315308,male,1990
805,KIR,33.973172259,female,1990
806,KIR,44.9253846348,male,2005
807,KIR,43.3695026721,female,2005
808,KIR,48.2455113614,male,2010
809,KIR,46.6774658074,female,2010
810,MHL,24.5292563844,male,1990
811,MHL,23.0127307883,female,1990
812,MHL,30.0198209054,male,2005
813,MHL,28.9882042561,female,2005
814,MHL,32.6903797613,male,2010
815,MHL,31.6476572346,female,2010
816,PNG,2142.11641944,male,1990
817,PNG,2045.2114126,female,1990
818,PNG,3122.34013424,male,2005
819,PNG,3003.42836122,female,2005
820,PNG,3507.67123998,male,2010
821,PNG,3372.99145762,female,2010
822,SLB,163.659187887,male,1990
823,SLB,152.399467987,female,1990
824,SLB,245.33020023,male,2005
825,SLB,228.914874567,female,2005
826,SLB,280.231058187,male,2010
827,SLB,261.826650897,female,2010
828,TON,49.0173316052,male,1990
829,TON,47.8348515329,female,1990
830,TON,50.8828849215,male,2005
831,TON,50.8085436247,female,2005
832,TON,52.4042533882,male,2010
833,TON,52.3989263986,female,2010
834,VUT,76.1792881161,male,1990
835,VUT,71.9906489383,female,1990
836,VUT,108.331235027,male,2005
837,VUT,103.885543975,female,2005
838,VUT,122.608475624,male,2010
839,VUT,118.011464982,female,2010
840,WSM,86.3509687397,male,1990
841,WSM,78.2211142685,female,1990
842,WSM,94.3216817515,male,2005
843,WSM,87.8286688431,female,2005
844,WSM,95.2886135943,male,2010
845,WSM,89.2349519385,female,2010
846,AGO,5164.47657537,male,1990
847,AGO,5317.36855134,female,1990
848,AGO,8207.19992014,male,2005
849,AGO,8395.34968236,female,2005
850,AGO,9539.08048222,male,2010
851,AGO,9720.43599805,female,2010
852,CAF,1453.97812482,male,1990
853,CAF,1504.03987823,female,1990
854,CAF,1994.18862433,male,2005
855,CAF,2055.30083303,female,2005
856,CAF,2185.56285333,male,2010
857,CAF,2247.73341769,female,2010
858,COD,18237.7566915,male,1990
859,COD,18698.7286608,female,1990
860,COD,29018.1781868,male,2005
861,COD,29341.0539263,female,2005
862,COD,33344.8024857,male,2010
863,COD,33657.0434245,female,2010
864,COG,1199.05355805,male,1990
865,COG,1207.43185238,female,1990
866,COG,1779.24209886,male,2005
867,COG,1778.91266021,female,2005
868,COG,2036.32431797,male,2010
869,COG,2032.88286228,female,2010
870,GAB,464.083444066,male,1990
871,GAB,473.937032202,female,1990
872,GAB,688.284507463,male,2005
873,GAB,689.234273011,female,2005
874,GAB,758.698963134,male,2010
875,GAB,755.159881531,female,2010
876,GNQ,193.075552072,male,1990
877,GNQ,185.224281385,female,1990
878,GNQ,313.265418304,male,2005
879,GNQ,297.789226481,female,2005
880,GNQ,359.824584519,male,2010
881,GNQ,342.454100272,female,2010
882,BDI,2765.4611446,male,1990
883,BDI,2900.17787966,female,1990
884,BDI,3578.89592873,male,2005
885,BDI,3744.0587383,female,2005
886,BDI,4157.97740245,male,2010
887,BDI,4306.46852828,female,2010
888,COM,221.098867432,male,1990
889,COM,220.390977346,female,1990
890,COM,327.059968363,male,2005
891,COM,323.49467271,female,2005
892,COM,373.710652785,male,2010
893,COM,368.479426821,female,2010
894,DJI,280.963752193,male,1990
895,DJI,282.148701372,female,1990
896,DJI,408.139774503,male,2005
897,DJI,408.00099078,female,2005
898,DJI,449.101917599,male,2010
899,DJI,448.438466005,female,2010
900,ERI,1558.92086463,male,1990
901,ERI,1618.91627682,female,1990
902,ERI,2211.80906898,male,2005
903,ERI,2297.88578935,female,2005
904,ERI,2596.08857053,male,2010
905,ERI,2678.76628261,female,2010
906,ETH,24164.3087905,male,1990
907,ETH,24555.3776333,female,1990
908,ETH,37159.2299685,male,2005
909,ETH,37554.9655175,female,2005
910,ETH,41521.5846395,male,2010
911,ETH,41923.2519986,female,2010
912,KEN,11725.9715396,male,1990
913,KEN,11803.859983,female,1990
914,KEN,17943.2063777,male,2005
915,KEN,17979.9770284,female,2005
916,KEN,20436.8359654,male,2010
917,KEN,20469.2017844,female,2010
918,MDG,5711.77456147,male,1990
919,MDG,5697.00124181,female,1990
920,MDG,8969.87678172,male,2005
921,MDG,9030.9101166,female,2005
922,MDG,10381.3918189,male,2010
923,MDG,10450.6663255,female,2010
924,MOZ,6555.93466984,male,1990
925,MOZ,7145.5399671,female,1990
926,MOZ,10094.7307248,male,2005
927,MOZ,10773.7372679,female,2005
928,MOZ,11445.7053884,male,2010
929,MOZ,12069.4587627,female,2010
930,MWI,4656.05541236,male,1990
931,MWI,4820.78015966,female,1990
932,MWI,6482.05142952,male,2005
933,MWI,6525.58269152,female,2005
934,MWI,7554.34629075,male,2010
935,MWI,7550.66680345,female,2010
936,RWA,3499.62167907,male,1990
937,RWA,3601.47381839,female,1990
938,RWA,4547.54132263,male,2005
939,RWA,4739.14765481,female,2005
940,RWA,5288.5597815,male,2010
941,RWA,5480.87109875,female,2010
942,SDN,13516.1947189,male,1990
943,SDN,13376.8456091,female,1990
944,SDN,19515.6686641,male,2005
945,SDN,19229.9763575,female,2005
946,SDN,22107.2815287,male,2010
947,SDN,21767.7425887,female,2010
948,SOM,3332.3160939,male,1990
949,SOM,3399.37068909,female,1990
950,SOM,4217.49542311,male,2005
951,SOM,4287.42598401,female,2005
952,SOM,4722.94516504,male,2010
953,SOM,4792.291719,female,2010
954,TZA,12728.6652067,male,1990
955,TZA,12956.0731364,female,1990
956,TZA,19553.4206129,male,2005
957,TZA,19669.1821704,female,2005
958,TZA,22610.1312689,male,2010
959,TZA,22643.2487078,female,2010
960,UGA,8893.56853855,male,1990
961,UGA,8982.09826308,female,1990
962,UGA,14336.9405507,male,2005
963,UGA,14432.1537928,female,2005
964,UGA,16886.323502,male,2010
965,UGA,16910.1169169,female,2010
966,ZMB,3939.43011665,male,1990
967,ZMB,3979.77733512,female,1990
968,ZMB,5816.40389732,male,2005
969,ZMB,5804.5943261,female,2005
970,ZMB,6668.90722435,male,2010
971,ZMB,6631.47154757,female,2010
972,BWA,686.420249197,male,1990
973,BWA,703.108672088,female,1990
974,BWA,945.501439621,male,2005
975,BWA,941.567642782,female,2005
976,BWA,1015.21028274,male,2010
977,BWA,999.210574252,female,2010
978,LSO,783.14882473,male,1990
979,LSO,870.453322254,female,1990
980,LSO,1011.88425868,male,2005
981,LSO,1069.78157543,female,2005
982,LSO,1073.26458585,male,2010
983,LSO,1110.56212346,female,2010
984,NAM,697.727119202,male,1990
985,NAM,727.878250952,female,1990
986,NAM,1033.94849278,male,2005
987,NAM,1055.60143362,female,2005
988,NAM,1136.69674646,male,2010
989,NAM,1152.48382742,female,2010
990,SWZ,410.030858633,male,1990
991,SWZ,458.592584562,female,1990
992,SWZ,543.151170705,male,2005
993,SWZ,568.144911313,female,2005
994,SWZ,586.050929515,male,2010
995,SWZ,606.248387762,female,2010
996,ZAF,18280.3103527,male,1990
997,ZAF,18657.250614,female,1990
998,ZAF,23723.2873778,male,2005
999,ZAF,24366.3208685,female,2005
1000,ZAF,24966.0464707,male,2010
1001,ZAF,25458.9482941,female,2010
1002,ZWE,5242.39170093,male,1990
1003,ZWE,5286.93926456,female,1990
1004,ZWE,6285.17387347,male,2005
1005,ZWE,6404.08876549,female,2005
1006,ZWE,6251.12964898,male,2010
1007,ZWE,6430.3412995,female,2010
1008,BEN,2316.44395311,male,1990
1009,BEN,2511.18044909,female,1990
1010,BEN,3782.94850302,male,2005
1011,BEN,3927.50660324,female,2005
1012,BEN,4408.56321723,male,2010
1013,BEN,4526.61605191,female,2010
1014,BFA,4602.02628052,male,1990
1015,BFA,4796.31833036,female,1990
1016,BFA,7075.4052215,male,2005
1017,BFA,7238.57143653,female,2005
1018,BFA,8225.63191002,male,2010
1019,BFA,8359.28254676,female,2010
1020,CIV,6525.32974499,male,1990
1021,CIV,6044.11444102,female,1990
1022,CIV,9289.84444658,male,2005
1023,CIV,8852.88609265,female,2005
1024,CIV,10130.136355,male,2010
1025,CIV,9749.6196912,female,2010
1026,CMR,6099.12047413,male,1990
1027,CMR,6181.91437091,female,1990
1028,CMR,8840.0801176,male,2005
1029,CMR,8893.40972821,female,2005
1030,CMR,9883.54081011,male,2010
1031,CMR,9915.31017791,female,2010
1032,CPV,169.094356005,male,1990
1033,CPV,184.506310314,female,1990
1034,CPV,233.503559882,male,2005
1035,CPV,243.23922107,female,2005
1036,CPV,247.754850992,male,2010
1037,CPV,252.825278155,female,2010
1038,GHA,7556.59020975,male,1990
1039,GHA,7345.41120893,female,1990
1040,GHA,11063.592611,male,2005
1041,GHA,10707.1764016,female,2005
1042,GHA,12466.4733117,male,2010
1043,GHA,12049.9720991,female,2010
1044,GIN,2932.29574295,male,1990
1045,GIN,2885.24959574,female,1990
1046,GIN,4624.85796494,male,2005
1047,GIN,4528.48010005,female,2005
1048,GIN,5094.64082662,male,2010
1049,GIN,4983.94551655,female,2010
1050,GMB,488.602558263,male,1990
1051,GMB,484.134670388,female,1990
1052,GMB,750.082318971,male,2005
1053,GMB,766.151470585,female,2005
1054,GMB,860.914137542,male,2010
1055,GMB,881.748011841,female,2010
1056,GNB,509.921906064,male,1990
1057,GNB,520.747487986,female,1990
1058,GNB,685.311929642,male,2005
1059,GNB,697.384756179,female,2005
1060,GNB,758.787588648,male,2010
1061,GNB,771.327334025,female,2010
1062,LBR,1084.83608771,male,1990
1063,LBR,1088.8826015,female,1990
1064,LBR,1615.54267683,male,2005
1065,LBR,1609.46850008,female,2005
1066,LBR,2008.81548679,male,2010
1067,LBR,1990.37383449,female,2010
1068,MLI,4321.93768601,male,1990
1069,MLI,4446.43798086,female,1990
1070,MLI,6629.69276508,male,2005
1071,MLI,6696.07335467,female,2005
1072,MLI,7762.11050472,male,2010
1073,MLI,7781.69897995,female,2010
1074,MRT,1003.04045577,male,1990
1075,MRT,1012.93871682,female,1990
1076,MRT,1541.50423861,male,2005
1077,MRT,1531.77309662,female,2005
1078,MRT,1754.13655262,male,2010
1079,MRT,1736.83260978,female,2010
1080,NER,3900.76596692,male,1990
1081,NER,4008.27005555,female,1990
1082,NER,6594.7954834,male,2005
1083,NER,6551.79806131,female,2005
1084,NER,7869.03835932,male,2010
1085,NER,7785.49883705,female,2010
1086,NGA,49512.3152054,male,1990
1087,NGA,48873.00499,female,1990
1088,NGA,71309.1918726,male,2005
1089,NGA,69783.7368494,female,2005
1090,NGA,80886.1438889,male,2010
1091,NGA,78924.3873184,female,2010
1092,SEN,3648.99439891,male,1990
1093,SEN,3653.03846979,female,1990
1094,SEN,5436.8935427,male,2005
1095,SEN,5517.75957558,female,2005
1096,SEN,6207.39965075,male,2010
1097,SEN,6308.67806122,female,2010
1098,SLE,1963.80599434,male,1990
1099,SLE,2043.74267853,female,1990
1100,SLE,2524.21085674,male,2005
1101,SLE,2648.75724943,female,2005
1102,SLE,2893.11290125,male,2010
1103,SLE,3018.47324043,female,2010
1104,STP,58.2402604231,male,1990
1105,STP,59.1969834578,female,1990
1106,STP,76.5060709172,male,2005
1107,STP,77.9197990757,female,2005
1108,STP,82.8899864283,male,2010
1109,STP,84.4641271406,female,2010
1110,TCD,2998.87434805,male,1990
1111,TCD,3071.10185961,female,1990
1112,TCD,4924.88106549,male,2005
1113,TCD,4988.84277163,female,2005
1114,TCD,5671.2297893,male,2010
1115,TCD,5729.60154263,female,2010
1116,TGO,1824.76081429,male,1990
1117,TGO,1867.02606854,female,1990
1118,TGO,2690.71433121,male,2005
1119,TGO,2744.39941509,female,2005
1120,TGO,3002.13673686,male,2010
1121,TGO,3059.04899328,female,2010
